City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Buala,SB,2021-03-27 18:30:00,-8.145,159.5921,79.9,83,50,7.9
233,Kharovsk,RU,2021-03-27 18:30:00,59.9642,40.1912,29.8,98,100,3.96
234,Chuy,UY,2021-03-27 18:25:46,-33.6971,-53.4616,75.15,80,91,2.17
235,Kathmandu,NP,2021-03-27 18:28:08,27.7167,85.3167,59.0,63,20,2.3
236,Ust-Nera,RU,2021-03-27 18:26:41,64.5667,143.2,-6.65,99,97,3.65
237,Kantunil,MX,2021-03-27 18:30:01,20.8,-89.0333,96.01,38,75,23.02
238,Padang,ID,2021-03-27 18:26:23,-0.9492,100.3543,78.8,94,75,3.44
239,Aklavik,CA,2021-03-27 18:30:01,68.2191,-135.0107,-9.4,77,75,8.05
240,Deputatskiy,RU,2021-03-27 18:30:02,69.3,139.9,-1.84,98,100,1.92
241,Alekseyevsk,RU,2021-03-27 18:30:02,57.8406,108.3492,13.37,97,99,3.67
242,Sibolga,ID,2021-03-27 18:30:02,1.7427,98.7792,76.71,87,100,3.02
243,Meulaboh,ID,2021-03-27 18:30:03,4.1363,96.1285,75.69,91,93,3.62
244,Menongue,AO,2021-03-27 18:30:03,-14.6585,17.691,63.68,94,72,1.66
245,Fortuna,US,2021-03-27 18:22:04,40.5982,-124.1573,59.0,67,1,2.62
246,Zwedru,LR,2021-03-27 18:30:04,6.0667,-8.1281,74.66,94,97,4.05
247,Rawson,AR,2021-03-27 18:25:31,-43.3002,-65.1023,79.39,17,52,18.03
248,Liverpool,GB,2021-03-27 18:30:05,53.4106,-2.9779,51.8,66,75,12.66
249,Krasnouralsk,RU,2021-03-27 18:30:05,58.3638,60.0407,21.51,93,8,5.03
250,Svetlyy,RU,2021-03-27 18:30:06,54.675,20.1347,41.0,93,75,17.9
251,Gallup,US,2021-03-27 18:30:06,35.5281,-108.7426,44.6,53,1,12.66
252,Hvide Sande,DK,2021-03-27 18:30:06,56.0045,8.1294,41.0,83,6,3.0
253,Urengoy,RU,2021-03-27 18:30:07,65.9667,78.3667,3.99,95,98,13.38
254,San Carlos Del Zulia,VE,2021-03-27 18:30:08,9.0,-71.9135,82.31,70,100,3.94
255,Vila Velha,BR,2021-03-27 18:23:08,-20.3297,-40.2925,84.2,70,20,13.8
256,San Cristobal,VE,2021-03-27 18:27:00,7.7669,-72.225,77.0,94,75,6.91
257,Tessalit,ML,2021-03-27 18:22:52,20.1986,1.0114,81.28,5,0,11.97
258,Tomatlan,MX,2021-03-27 18:26:56,19.9333,-105.25,88.2,21,2,7.61
259,San Carlos De Bariloche,AR,2021-03-27 18:30:08,-41.1456,-71.3082,73.99,18,0,9.22
260,General Pico,AR,2021-03-27 18:30:09,-35.6566,-63.7568,58.06,83,100,11.36
261,Rabaul,PG,2021-03-27 18:30:10,-4.1967,152.1721,78.82,79,100,5.35
262,Kem,RU,2021-03-27 18:30:10,64.9555,34.5793,32.27,91,100,10.11
263,Ulaangom,MN,2021-03-27 18:30:11,49.9811,92.0667,9.12,76,84,5.1
264,Gizo,SB,2021-03-27 18:30:11,-8.103,156.8419,81.93,76,41,6.69
265,Leningradskiy,RU,2021-03-27 18:22:59,69.3833,178.4167,-18.6,91,20,7.02
266,Wewak,PG,2021-03-27 18:30:12,-3.5534,143.6268,78.19,85,100,0.49
