City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Chimoio,MZ,-19.1164,33.4833,68.0,100,75,14.97,light rain
267,Mount Gambier,AU,-37.8333,140.7667,60.8,88,90,4.61,overcast clouds
268,Itarema,BR,-2.9248,-39.9167,76.95,84,6,5.32,clear sky
269,Ganzhou,CN,28.8184,115.4327,67.91,79,10,1.39,light rain
270,Carballo,ES,43.213,-8.691,55.0,76,0,3.44,clear sky
271,Dosso,NE,13.049,3.1937,75.85,14,1,9.93,clear sky
272,Mawlaik,MM,23.6333,94.4167,70.63,24,100,0.81,overcast clouds
273,Grand Gaube,MU,-20.0064,57.6608,75.99,82,3,3.51,clear sky
274,Weligama,LK,5.9667,80.4167,73.98,86,73,5.66,broken clouds
275,Cairns,AU,-16.9167,145.7667,86.0,65,40,12.66,scattered clouds
276,Khash,IR,28.2211,61.2158,59.4,31,68,6.55,broken clouds
277,Lamar,US,33.6668,-95.5836,64.4,29,1,9.22,clear sky
278,Chuy,UY,-33.6971,-53.4616,63.36,92,45,4.54,scattered clouds
279,Lugovoy,KZ,42.9472,72.7644,39.2,96,100,8.9,overcast clouds
280,Norman Wells,CA,65.282,-126.8329,-0.4,55,75,19.57,broken clouds
281,Torbay,CA,47.6666,-52.7314,25.0,68,75,2.3,broken clouds
282,Rudbar,AF,30.15,62.6,56.39,47,63,17.67,broken clouds
283,Aloleng,PH,16.1307,119.7824,82.42,72,87,6.17,overcast clouds
284,Imeni Poliny Osipenko,RU,52.4201,136.4853,30.4,88,100,11.92,overcast clouds
285,Iqaluit,CA,63.7506,-68.5145,12.2,79,75,12.66,light snow
286,Jijiga,ET,9.35,42.8,62.6,25,32,3.74,scattered clouds
287,Lahad Datu,MY,5.0268,118.327,78.8,84,87,5.28,overcast clouds
288,Taungdwingyi,MM,20.0167,95.55,78.19,35,99,7.49,overcast clouds
289,San Policarpo,PH,12.1791,125.5072,81.19,81,100,9.93,overcast clouds
290,Nemuro,JP,43.3236,145.575,46.4,100,75,6.91,moderate rain
291,Yeppoon,AU,-23.1333,150.7333,80.6,65,20,9.22,few clouds
292,Tripoli,LY,32.8752,13.1875,64.26,41,13,7.56,few clouds
293,Maridi,SS,4.9158,29.4742,72.45,66,76,2.26,light rain
294,Namatanai,PG,-3.6667,152.4333,84.69,67,84,7.56,broken clouds
295,Vardo,NO,70.3705,31.1107,33.93,88,58,14.54,broken clouds
296,Huarmey,PE,-10.0681,-78.1522,71.02,82,94,8.63,overcast clouds
297,Ormara,PK,25.2088,64.6357,77.5,82,44,7.76,scattered clouds
298,Rodrigues Alves,BR,-7.738,-72.6509,73.96,96,92,2.28,moderate rain
299,Inta,RU,66.0317,60.1659,-3.69,99,65,2.95,broken clouds
300,Dauphin,CA,51.1494,-100.0502,46.4,42,1,14.97,clear sky
301,Kalmunai,LK,7.4167,81.8167,76.42,81,81,5.7,broken clouds
302,Bubaque,GW,11.2833,-15.8333,75.63,74,0,18.41,clear sky
303,Salalah,OM,17.0151,54.0924,75.2,50,0,4.61,clear sky
304,Brae,GB,60.3964,-1.353,48.2,87,90,25.32,haze
305,Mahanoro,MG,-19.9,48.8,74.32,90,54,4.18,broken clouds
306,Kokopo,PG,-4.352,152.2633,82.81,66,99,1.14,overcast clouds
307,Newburn,GB,54.9876,-1.7442,53.6,76,90,17.27,light rain
308,Palmer,US,42.1584,-72.3287,55.0,100,90,3.44,mist
309,Tsabong,BW,-26.0217,22.401,70.12,23,1,7.4,clear sky
310,Mmabatho,ZA,-25.85,25.6333,64.4,77,71,16.11,broken clouds
311,Nyurba,RU,63.2842,118.3319,16.32,94,92,4.54,overcast clouds
312,Iskateley,RU,67.6803,53.1512,33.57,92,100,10.65,overcast clouds
313,Dandong,CN,40.1292,124.3947,47.41,33,0,10.96,clear sky
314,Mwense,ZM,-10.3845,28.698,65.43,91,100,1.59,overcast clouds
315,Shingu,JP,33.7333,135.9833,60.8,72,40,9.22,scattered clouds
316,Bansko,BG,41.8383,23.4885,41.0,77,88,3.0,overcast clouds
317,Alenquer,BR,-1.9417,-54.7383,77.0,94,0,3.44,clear sky
318,Miraflores,MX,19.2167,-98.8083,73.0,37,20,23.02,dust
319,Terme,TR,41.2092,36.9739,45.0,87,1,3.44,mist
320,Shimanovsk,RU,52.0,127.7,31.71,96,100,8.16,snow
321,Hearst,CA,49.6835,-83.6665,26.6,50,100,10.36,overcast clouds
